test_id,test_strain,type,ailment_1,ailment_2,ailment_3,ailment_4,ailment_5,effects_1,effects_2,effects_3,effects_4,effects_5,effects_6,effects_7,effects_8,flavor_1,flavor_2,flavor_3,ailment_count,effects_count,flavor_count
19,Dutch Hawaiian,Sativa,Depression, Stress, Pain, Nausea,None,Happy, Energetic, Uplifted, Euphoric, Relaxed, Dry Mouth, Anxious,None,Citrus, Sweet,None,4,7,2
21,SleeStack,Hybrid,Stress, Depression,None,None,None,Uplifted, Euphoric, Creative, Relaxed, Talkative, Anxious, Dry Mouth,None,Sweet, Pine,None,2,7,2
22,Space Needle,Sativa,Depression, Stress,None,None,None,Uplifted, Euphoric, Happy, Hungry, Relaxed, Dry Mouth, Anxious,None,Pine,None,None,2,7,1
23,Double Purple Doja,Hybrid,Pain, Stress, Inflammation, Muscle Spasms,None,Relaxed, Creative, Sleepy, Happy, Euphoric, Dry Mouth, Anxious,None,Earthy, Grape,None,4,7,2
37,Jack Skellington,Hybrid,Stress, Depression, Pain, Muscle Spasms,None,Creative, Relaxed, Euphoric, Energetic, Happy, Dry Mouth, Paranoid, Anxious,Citrus, Sweet,None,4,8,2
38,Northern Lights,Hybrid,Stress, Pain, Insomnia, Depression, Lack of Appetite,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid,Earthy, Pine, Sweet,5,8,3
42,Qleaner,Hybrid,None,None,None,None,None,Uplifted,Energetic,Happy,Euphoric,Creative,None,None,None,None,None,None,0,5,0
43,Qush,Hybrid,Stress, Pain, Depression, Insomnia, Lack of Appetite,Relaxed, Sleepy, Uplifted, Happy, Euphoric, Dry Mouth,None,None,Citrus,None,None,5,6,1
52,Afgoo,Indica,Stress, Pain, Insomnia, Lack of Appetite, Muscle Spasms,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Pine, Earthy, Citrus,5,8,3
57,Pineapple,Hybrid,None,None,None,None,None,Happy,Uplifted,Euphoric,Relaxed,Energetic,None,None,None,Earthy,Grape,Berry,0,5,3
59,Jack the Ripper,Hybrid,Stress, Depression, Pain,None,None,Happy, Energetic, Uplifted, Euphoric, Talkative, Dry Mouth, Paranoid, Anxious,Lemon, Citrus, Earthy,3,8,3
60,Grape Ape,Hybrid,Stress, Pain, Insomnia, Depression,None,Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious,None,Grape, Sweet, Berry,4,7,3
62,Harlequin,Hybrid,Stress, Pain, Depression, Inflammation,None,Relaxed, Focused, Uplifted, Happy, Energetic, Dry Mouth, Anxious,None,Earthy, Sweet,None,4,7,2
64,Chocolope,Sativa,Stress, Depression, Pain, Lack of Appetite,None,Happy, Energetic, Uplifted, Euphoric, Creative, Dry Mouth, Anxious, Paranoid,Earthy, Coffee, Sweet,4,8,3
72,Gremlin,Hybrid,None,None,None,None,None,Euphoric,Relaxed,Uplifted,Aroused,Sleepy,None,None,None,None,None,None,0,5,0
74,Jack Herer,Hybrid,Stress, Depression, Pain, Lack of Appetite,None,Happy, Energetic, Uplifted, Creative, Euphoric, Dry Mouth, Paranoid, Anxious,Earthy, Pine,None,4,8,2
82,AK-47,Hybrid,None,None,None,None,None,Happy,Relaxed,Uplifted,Euphoric,Energetic,None,None,None,None,None,None,0,5,0
83,Ace of Spades,Hybrid,Stress, Lack of Appetite, Pain, Depression, Insomnia,Relaxed, Happy, Uplifted, Euphoric, Sleepy, Dry Mouth, Paranoid, Anxious,Earthy, Berry,None,5,8,2
86,G-13,Hybrid,None,None,None,None,None,Relaxed,Happy,Euphoric,Uplifted,Hungry,None,None,None,Chemical,Sage,Flowery,0,5,3
87,Permafrost,Hybrid,None,None,None,None,None,Focused,Happy,Relaxed,Talkative,Euphoric,None,None,None,None,None,None,0,5,0
89,Sour Diesel,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Earthy,Sweet,Pungent,0,0,3
90,Casey Jones,Hybrid,Depression, Stress, Pain, Inflammation,None,Euphoric, Energetic, Uplifted, Happy, Talkative, Dry Mouth, Paranoid, Anxious,Sweet, Earthy,None,4,8,2
91,Purple Urkel,Indica,None,None,None,None,None,None,None,None,None,None,None,None,None,Sweet,Earthy,Tropical,0,0,3
93,Agent Orange,Hybrid,None,None,None,None,None,None,None,None,None,None,None,None,None,Spicy/Herbal,Sage,Woody,0,0,3
96,Querkle,Hybrid,Stress, Pain, Insomnia, Lack of Appetite, Depression,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious,None,Sweet, Earthy, Berry,5,7,3
100,Amnesia,Sativa,Stress, Depression, Pain, Lack of Appetite,None,Happy, Euphoric, Uplifted, Relaxed, Energetic, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,None,4,8,2
