test_id,test_strain,type,effects_1,effects_2,effects_3,effects_4,effects_5,effects_6,effects_7,effects_8,ailment_1,ailment_2,ailment_3,ailment_4,ailment_5,flavor_1,flavor_2,flavor_3,flavor_4
76513,Critical Kali Mist,Sativa,Creative, Focused, Uplifted, Happy, Euphoric, Paranoid, Dry Mouth,,Depression, Stress, Muscle Spasms,,,Pine, Sweet, Earthy,
218624,Thai Haze,Hybrid,Creative, Energetic, Happy, Horny, Euphoric, Anxious, Dry Mouth,,Depression, Stress, Pain, Lack of Appetite, Muscle Spasms,Pine, Pepper, Sweet,
10997,Space Jill,Sativa,Creative, Focused, Energetic, Uplifted, Euphoric, Dry Mouth, Paranoid,,Pain, Stress, Depression, Nausea,,,,,
37,Jack Skellington,Hybrid,Creative, Relaxed, Euphoric, Energetic, Happy, Dry Mouth, Paranoid, Anxious,Stress, Depression, Pain, Muscle Spasms,,Citrus, Sweet,,
104662,Narnia,Sativa,Creative, Energetic, Focused, Uplifted, Happy, Dry Mouth, Paranoid, Anxious,Stress, Depression, Pain, Lack of Appetite,,Sweet, Earthy, Citrus,
5825,Brainwreck,Hybrid,Creative,Focused,Uplifted,Happy,Euphoric,,,,,,,,,Earthy,Pungent,Woody,
109072,Super G,Hybrid,Creative, Tingly, Uplifted, Energetic, Happy,,,,,,,,,Earthy, Pine,,
58334,Satori,Hybrid,Creative,Euphoric,Uplifted,Happy,Energetic,,,,,,,,,,,,
77935,A-Train,Hybrid,Creative,Euphoric,Relaxed,Happy,Hungry,,,,,,,,,,,,
54396,DJ Andy Williams,Sativa,Creative, Energetic,,,,,,,,,,,,,,,
128992,Jack Smack,Sativa,Energetic, Uplifted, Focused, Happy, Creative, Dry Mouth,,,Depression, Stress, Lack of Appetite,,,Blueberry, Earthy,,
101,Cinex,Hybrid,Energetic, Uplifted, Happy, Focused, Euphoric, Dry Mouth, Anxious, Paranoid,Depression, Stress, Pain,,,Citrus, Earthy,,
5880,Galactic Jack,Hybrid,Energetic, Focused, Happy, Uplifted, Euphoric, Dry Mouth, Anxious,,Depression, Stress, Pain,,,Citrus, Sweet,,
27563,Dr. Grinspoon,Sativa,Energetic, Euphoric, Uplifted, Happy, Creative, Dry Mouth, Paranoid,,Depression, Stress, Pain,,,Citrus, Earthy,,
99233,Sour Jack,Hybrid,Energetic, Happy, Creative, Uplifted, Euphoric, Dry Mouth, Anxious, Paranoid,Depression, Stress, Pain,,,Citrus,,,
112354,Twisted Citrus,Sativa,Energetic, Uplifted, Talkative, Creative, Happy, Dry Mouth, Anxious,,Depression, Stress, Inflammation, Lack of Appetite,,Citrus, Orange, Lemon,
6939,Kilimanjaro,Sativa,Energetic, Happy, Talkative, Creative, Uplifted, Dry Mouth, Paranoid, Anxious,Depression, Stress, Pain, Muscle Spasms,,Earthy, Pine,,
52901,Super Green Crack,Hybrid,Energetic, Uplifted, Happy, Focused, Euphoric, Dry Mouth, Anxious,,Depression, Stress, Lack of Appetite, Pain,,Earthy, Citrus,,
36598,Destroyer,Hybrid,Energetic, Uplifted, Euphoric, Happy,,,,,Depression, Stress, Insomnia,,,Lavender, Ammonia, Sweet,
1074,Timewreck,Hybrid,Energetic, Uplifted, Talkative, Euphoric, Happy, Anxious, Dry Mouth,,Depression, Pain, Stress, Lack of Appetite,,Lemon, Lime,,
197377,Killing Fields,Sativa,Energetic, Happy, Focused, Euphoric, Uplifted, Dry Mouth, Paranoid,,Depression, Stress, Pain, Nausea,,Lemon, Citrus,,
76620,Pineapple Punch,Hybrid,Energetic, Uplifted, Creative, Horny, Happy, Dry Mouth,,,Depression, Stress, Lack of Appetite, Insomnia,,Pineapple,,,
56398,Stella Blue,Sativa,Energetic, Uplifted, Happy, Focused, Relaxed, Dry Mouth, Paranoid,,Depression, Stress, Nausea, Pain,,Sweet, Berry,,
