test_id,test_strain,type,ailment_1,ailment_2,ailment_3,ailment_4,ailment_5,effects_1,effects_2,effects_3,effects_4,effects_5,effects_6,effects_7,effects_8,flavor_1,flavor_2,flavor_3,thc_max,cbd_max,inventory_type,chemotype,strain_category,strain_leafly_page_rank,strain_leafly_review_rank,strain_tests,strain_chemotype,strain_prop_chemotype1,strain_prop_chemotype2,strain_prop_chemotype3,strain_modal_chemo_prop
19,Dutch Hawaiian,Sativa,Depression, Stress, Pain, Nausea,,Happy, Energetic, Uplifted, Euphoric, Relaxed, Dry Mouth, Anxious,,Citrus, Sweet,,20.1309,0.54,Flower Lot,1,Sativa,619,141,425,1,1,0,0,1
21,SleeStack,Hybrid,Stress, Depression,,,,Uplifted, Euphoric, Creative, Relaxed, Talkative, Anxious, Dry Mouth,,Sweet, Pine,,9.9139,0,Flower Lot,1,Sativa,1276,151,63,1,1,0,0,1
22,Space Needle,Sativa,Depression, Stress,,,,Uplifted, Euphoric, Happy, Hungry, Relaxed, Dry Mouth, Anxious,,Pine,,,10.8132,0,Flower Lot,1,,,,,,,,,
23,Double Purple Doja,Hybrid,Pain, Stress, Inflammation, Muscle Spasms,,Relaxed, Creative, Sleepy, Happy, Euphoric, Dry Mouth, Anxious,,Earthy, Grape,,11.6702,0,Flower Lot,1,Indica,1115,151,52,1,1,0,0,1
37,Jack Skellington,Hybrid,Stress, Depression, Pain, Muscle Spasms,,Creative, Relaxed, Euphoric, Energetic, Happy, Dry Mouth, Paranoid, Anxious,Citrus, Sweet,,13.4657,0,Flower Lot,1,Sativa,708,141,124,1,1,0,0,1
38,Northern Lights,Hybrid,Stress, Pain, Insomnia, Depression, Lack of Appetite,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid,Earthy, Pine, Sweet,12.0579,0,Flower Lot,1,Indica,11,11,1389,1,0.987761,0.0115191,0.0007199,0.987761
42,Qleaner,Hybrid,,,,,,Uplifted,Energetic,Happy,Euphoric,Creative,,,,,,,13.2919,0,Flower Lot,1,Hybrid,1377,150,61,1,1,0,0,1
43,Qush,Hybrid,Stress, Pain, Depression, Insomnia, Lack of Appetite,Relaxed, Sleepy, Uplifted, Happy, Euphoric, Dry Mouth,,,Citrus,,,10.3016,0,Flower Lot,1,Indica,1594,151,17,1,1,0,0,1
52,Afgoo,Indica,Stress, Pain, Insomnia, Lack of Appetite, Muscle Spasms,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Pine, Earthy, Citrus,12.5149,0,Flower Lot,1,Indica,196,116,795,1,0.9962264,0.0037736,0,0.9962264
57,Pineapple,Hybrid,,,,,,Happy,Uplifted,Euphoric,Relaxed,Energetic,,,,Earthy,Grape,Berry,14.4689,0,Flower Lot,1,Hybrid,143,93,502,1,0.9960159,0,0.0039841,0.9960159
59,Jack the Ripper,Hybrid,Stress, Depression, Pain,,,Happy, Energetic, Uplifted, Euphoric, Talkative, Dry Mouth, Paranoid, Anxious,Lemon, Citrus, Earthy,4.008,0,Flower Lot,1,Sativa,158,122,322,1,0.9782609,0.0155279,0.0062112,0.9782609
60,Grape Ape,Hybrid,Stress, Pain, Insomnia, Depression,,Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious,,Grape, Sweet, Berry,9.67,0,Flower Lot,1,Indica,39,32,1860,1,0.9978495,0.0021505,0,0.9978495
