test_id,test_strain,type,ailment_1,ailment_2,ailment_3,ailment_4,ailment_5,effects_1,effects_2,effects_3,effects_4,effects_5,effects_6,effects_7,effects_8,flavor_1,flavor_2,flavor_3,ailment_count,effects_count,flavor_count,thc_max,cbd_max,thc_cbd,cbd_thc,inventory_type,chemotype,strain_leafly_page_rank,strain_leafly_review_rank,strain_tests,strain_chemotype,strain_prop_chemotype1,strain_prop_chemotype2,strain_prop_chemotype3,strain_modal_chemo_prop
19,Dutch Hawaiian,Sativa,Depression, Stress, Pain, Nausea,None,Happy, Energetic, Uplifted, Euphoric, Relaxed, Dry Mouth, Anxious,None,Citrus, Sweet,None,4,7,2,20.1309,0.54,37.28,0.03,Flower Lot,1,619,141,425,1,1,0,0,1
21,SleeStack,Hybrid,Stress, Depression,None,None,None,Uplifted, Euphoric, Creative, Relaxed, Talkative, Anxious, Dry Mouth,None,Sweet, Pine,None,2,7,2,9.9139,0,0,0,Flower Lot,1,1276,151,63,1,1,0,0,1
22,Space Needle,Sativa,Depression, Stress,None,None,None,Uplifted, Euphoric, Happy, Hungry, Relaxed, Dry Mouth, Anxious,None,Pine,None,None,2,7,1,10.8132,0,0,0,Flower Lot,1,0,0,0,0,0,0,0,0
23,Double Purple Doja,Hybrid,Pain, Stress, Inflammation, Muscle Spasms,None,Relaxed, Creative, Sleepy, Happy, Euphoric, Dry Mouth, Anxious,None,Earthy, Grape,None,4,7,2,11.6702,0,0,0,Flower Lot,1,1115,151,52,1,1,0,0,1
37,Jack Skellington,Hybrid,Stress, Depression, Pain, Muscle Spasms,None,Creative, Relaxed, Euphoric, Energetic, Happy, Dry Mouth, Paranoid, Anxious,Citrus, Sweet,None,4,8,2,13.4657,0,0,0,Flower Lot,1,708,141,124,1,1,0,0,1
38,Northern Lights,Hybrid,Stress, Pain, Insomnia, Depression, Lack of Appetite,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid,Earthy, Pine, Sweet,5,8,3,12.0579,0,0,0,Flower Lot,1,11,11,1389,1,0.987761,0.0115191,0.0007199,0.987761
42,Qleaner,Hybrid,None,None,None,None,None,Uplifted,Energetic,Happy,Euphoric,Creative,None,None,None,None,None,None,0,5,0,13.2919,0,0,0,Flower Lot,1,1377,150,61,1,1,0,0,1
43,Qush,Hybrid,Stress, Pain, Depression, Insomnia, Lack of Appetite,Relaxed, Sleepy, Uplifted, Happy, Euphoric, Dry Mouth,None,None,Citrus,None,None,5,6,1,10.3016,0,0,0,Flower Lot,1,1594,151,17,1,1,0,0,1
52,Afgoo,Indica,Stress, Pain, Insomnia, Lack of Appetite, Muscle Spasms,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Pine, Earthy, Citrus,5,8,3,12.5149,0,0,0,Flower Lot,1,196,116,795,1,0.9962264,0.0037736,0,0.9962264
57,Pineapple,Hybrid,None,None,None,None,None,Happy,Uplifted,Euphoric,Relaxed,Energetic,None,None,None,Earthy,Grape,Berry,0,5,3,14.4689,0,0,0,Flower Lot,1,143,93,502,1,0.9960159,0,0.0039841,0.9960159
