strain_type,chemo_type,thc_max,cbd_max
1,1,20.13,0.54
2,1,13.50,0.00
1,1,9.91,0.00
0,1,10.81,0.00
2,1,11.67,0.00
2,1,16.82,0.01
2,1,16.90,0.01
2,1,19.08,0.01
2,1,20.51,0.01
2,1,19.56,0.01
2,1,18.30,0.01
2,1,19.46,0.01
2,1,18.95,0.01
0,1,9.22,0.00
3,1,13.59,0.00
2,1,13.44,0.00
1,1,13.41,0.00
1,1,13.47,0.00
2,1,12.06,0.00
3,1,10.82,0.00
3,1,12.40,0.00
2,1,16.54,0.00
3,1,13.29,0.00
2,1,10.30,0.00
0,1,10.77,0.00
3,1,12.37,0.00
0,1,11.59,0.00
2,1,3.62,0.00
1,1,7.25,0.00
1,1,11.87,0.00
0,1,13.55,0.00
2,1,6.97,0.00
2,1,12.51,0.00
1,1,12.63,0.00
3,1,4.43,0.00
3,1,10.59,0.00
3,1,14.07,0.00
3,1,14.47,0.00
3,1,7.02,0.00
1,1,4.01,0.00
2,1,9.67,0.00
3,1,12.54,0.00
1,1,6.94,0.00
3,1,16.76,0.00
1,1,12.94,0.00
3,1,4.31,0.00
0,1,10.81,0.00
2,1,21.43,0.01
0,1,12.87,0.00
3,1,17.36,0.00
0,1,18.46,0.11
0,1,15.22,0.01
0,1,16.20,0.11
0,1,24.17,0.03
1,1,17.20,0.02
1,1,14.94,0.01
1,1,14.71,0.01
3,1,20.01,0.01
2,1,15.53,0.00
2,1,15.53,0.00
3,1,18.20,0.00
3,1,18.53,0.01
3,1,14.51,0.01
2,1,9.21,0.01
3,1,17.12,0.01
1,1,14.90,0.01
2,1,13.01,0.01
3,1,12.83,0.01
3,1,11.57,0.01
1,1,12.83,0.01
1,1,12.13,0.01
2,1,16.11,0.44
3,1,17.09,0.01
3,1,13.02,0.01
3,1,19.38,0.01
3,1,15.26,0.01
2,1,15.64,0.18
3,1,15.43,0.01
3,1,17.50,0.01
3,1,7.33,0.01
1,1,16.47,0.01
1,1,16.81,0.00
0,1,15.97,0.00
2,1,15.55,0.00
3,1,14.84,0.01
2,1,15.17,0.01
2,1,15.64,0.01
2,1,18.60,0.33
2,1,18.01,0.01
2,1,17.54,0.01
3,1,13.89,0.01
0,1,18.65,0.01
3,1,16.10,0.01
3,1,11.52,0.01
3,1,10.92,0.01
2,1,13.69,0.01
3,1,17.18,0.01
3,1,17.23,0.01
3,1,14.72,0.01
0,1,15.69,0.01
