test_strain,type,ailment_1,effects_1,flavor_1,thc_max,cbd_max,chemotype,strain_leafly_review_rank,strain_leafly_page_rank
Dutch Hawaiian,Sativa,Depression,Happy,Citrus,20.1309,0.54,1,141,619
SleeStack,Hybrid,Stress,Uplifted,Sweet,9.9139,0,1,151,1276
Space Needle,Sativa,Depression,Uplifted,Pine,10.8132,0,1,0,0
Double Purple Doja,Hybrid,Pain,Relaxed,Earthy,11.6702,0,1,151,1115
Jack Skellington,Hybrid,Stress,Creative,Citrus,13.4657,0,1,141,708
Northern Lights,Hybrid,Stress,Relaxed,Earthy,12.0579,0,1,11,11
Qleaner,Hybrid,None,Uplifted,None,13.2919,0,1,150,1377
Qush,Hybrid,Stress,Relaxed,Citrus,10.3016,0,1,151,1594
Afgoo,Indica,Stress,Relaxed,Pine,12.5149,0,1,116,196
Pineapple,Hybrid,None,Happy,Earthy,14.4689,0,1,93,143
Jack the Ripper,Hybrid,Stress,Happy,Lemon,4.008,0,1,122,158
Grape Ape,Hybrid,Stress,Relaxed,Grape,9.67,0,1,32,39
Harlequin,Hybrid,Stress,Relaxed,Earthy,6.9406,0,1,40,32
Chocolope,Sativa,Stress,Happy,Earthy,12.9395,0,1,42,85
Gremlin,Hybrid,None,Euphoric,None,16.20232,0.11,1,0,0
Jack Herer,Hybrid,Stress,Happy,Earthy,17.19814,0.02,1,9,9
AK-47,Hybrid,None,Happy,None,14.50805,0.01,1,15,16
Ace of Spades,Hybrid,Stress,Relaxed,Earthy,9.21006,0.01,1,120,296
G-13,Hybrid,None,Relaxed,Chemical,13.00715,0.01,1,69,56
Permafrost,Hybrid,None,Focused,None,12.82555,0.01,1,126,317
Sour Diesel,Hybrid,None,None,Earthy,12.82555,0.01,1,2,3
Casey Jones,Hybrid,Depression,Euphoric,Sweet,12.12518,0.01,1,114,213
Purple Urkel,Indica,None,None,Sweet,16.11082,0.44,1,43,64
Agent Orange,Hybrid,None,None,Spicy/Herbal,13.01854,0.01,1,52,74
Querkle,Hybrid,Stress,Relaxed,Sweet,15.63505,0.18,1,138,315
Amnesia,Sativa,Stress,Happy,Earthy,16.47237,0.01,1,60,103
Cinex,Hybrid,Depression,Energetic,Citrus,16.8122,0,1,71,119
Godzilla,Hybrid,Pain,Euphoric,Earthy,15.5475,0,1,145,894
Blueberry Kush,Indica,Pain,Relaxed,Blueberry,15.17099,0.01,1,67,93
Pitbull,Indica,Pain,Relaxed,Earthy,13.69437,0.01,1,134,607
Vortex,Hybrid,Stress,Uplifted,Mango,11.50748,0.01,1,131,256
Tangerine Dream,Hybrid,None,None,Flowery,17.43017,0.01,1,57,86
Royal Queen,Hybrid,None,None,Sweet,14.04233,0.01,1,0,0
Moby Dick,Hybrid,Stress,Happy,Citrus,14.0548,0.52,1,62,101
Purple Pineapple,Hybrid,None,None,Sweet,13.09678,0.01,1,0,0
Blue Magoo,Hybrid,None,None,Tree,14.88314,0.01,1,113,295
Critical Mass,Hybrid,Stress,Relaxed,Earthy,4.24105,7.87,2,69,70
Grape Krush,Hybrid,None,None,Earthy,6.13756,7.27,2,145,1304
Train Wreck,Hybrid,None,None,Earthy,16.432,0.01,1,18,14
Trainwreck,Hybrid,None,Happy,Woody,14.2243,0.22,1,18,14
Afgooey,Indica,Pain,Relaxed,Earthy,18.6693,0.13,1,129,416
Bubba Kush,Hybrid,Pain,Relaxed,Earthy,12.55218,0.01,1,13,10
Lavender,Indica,Stress,Relaxed,Lavender,16.01323,0.01,1,76,151
Maui,Hybrid,Depression,Talkative,Citrus,17.53721,0.109,1,146,479
Alice in Wonderland,Hybrid,Lack of Appetite,Relaxed,Pine,11.49111,0.19,1,141,535
Strawberry Cough,Hybrid,Stress,Happy,Strawberry,11.73576,0.11,1,16,28
Dynamite,Hybrid,Stress,Euphoric,Earthy,10.81828,0.05,1,144,874
Headband,Hybrid,None,Happy,None,11.48095,0.11,1,21,27
Durban Poison,Sativa,Depression,Uplifted,Earthy,13.3673,0.16,1,12,13
Skunk #1,Hybrid,None,None,Berry,9.99144,0.11,1,113,58
Candy Skunk,Hybrid,None,None,Tropical,10.7132,0.12,1,0,0
Blue God,Hybrid,Pain,Relaxed,Berry,12.34565,0.09,1,131,426
Space Queen,Hybrid,None,None,Tropical,7.75926,0.04,1,79,115
Night Train,Hybrid,Insomnia,Relaxed,Pepper,7.12381,0.09,1,151,1534
Blackberry Kush,Hybrid,Stress,Relaxed,Berry,12.18806,0.21,1,36,46
Big Bud,Hybrid,Stress,Relaxed,Earthy,10.1693,0.07,1,119,132
Blue Cheese,Hybrid,Stress,Relaxed,Blueberry,9.61032,0.06,1,19,23
OG Kush,Hybrid,None,None,Earthy,12.84859,0.09,1,6,5
Shining Silver Haze,Hybrid,Stress,Talkative,None,3.49581,6.45,2,149,1243
Sage,Hybrid,None,Happy,None,11.50892,0.08,1,134,393
Purple Jolly Rancher,Hybrid,Insomnia,Relaxed,Citrus,15.77499,0.05,1,147,1332
Chocolate Thai,Hybrid,Stress,Relaxed,Earthy,12.2979,0.02,1,141,290
Obama Kush,Hybrid,Pain,Relaxed,Earthy,7.91846,0.42,1,65,126
Purple Kush,Hybrid,Stress,Relaxed,Earthy,11.68298,0.03,1,24,21
Schrom,Hybrid,Stress,Happy,Lemon,7.26199,0.01,1,0,0
Chemdawg,Hybrid,None,Relaxed,None,11.44908,0.04,1,23,18
UW,Indica,Insomnia,Relaxed,Earthy,19.3532,0.17,1,136,675
Warlock,Hybrid,None,Relaxed,Earthy,11.57913,0.04,1,142,601
God Bud,Hybrid,Stress,Relaxed,Earthy,18.25123,0.01,1,90,137
Grape God,Hybrid,None,None,Lavender,7.16996,0.01,1,86,234
Blue Hawaiian,Hybrid,None,None,Earthy,15.13804,0.04,1,116,453
Seattle Cough,Hybrid,Depression,Happy,Pine,16.48874,0.03,1,146,1273
Freezeland,Indica,Stress,Happy,Pine,13.21651,0.04,1,146,1101
Black Cherry OG,Indica,Insomnia,Relaxed,Berry,19.74197,0.08,1,141,555
Romulan,Hybrid,Stress,Relaxed,Earthy,15.05649,0.03,1,80,121
Ice,Hybrid,None,Euphoric,None,14.82863,0.04,1,134,230
Dirty Girl,Hybrid,Depression,Happy,Sweet,16.54365,0.04,1,132,433
B-52,Hybrid,Stress,Relaxed,Earthy,18.48203,0.28,1,146,996
Plushberry,Hybrid,Stress,Relaxed,Berry,16.92814,0.75,1,124,311
Mickey Kush,Sativa,Depression,Happy,Earthy,13.90361,0.04,1,138,957
Double Purple,Hybrid,None,None,Earthy,10.53676,0.03,1,151,1115
Master Kush,Hybrid,Stress,Relaxed,Earthy,14.95159,0.099,1,33,31
New York Diesel,Sativa,None,None,Citrus,14.49506,0.099,1,0,0
Shiva Skunk,Hybrid,Pain,Sleepy,Skunk,14.91695,0.223,1,145,318
Super Lemon Haze,Hybrid,Stress,Happy,Lemon,12.47531,0.128,1,22,29
Godberry,Indica,Insomnia,Relaxed,Berry,14.032,0,1,146,910
Quantum Kush,Hybrid,Depression,Happy,Sweet,15.36638,0.18,1,98,226
Orange Kush,Hybrid,Stress,Relaxed,Citrus,21.07542,0.139,1,77,112
Panama Red,Hybrid,Depression,Happy,Citrus,16.19771,0.21,1,139,269
Sour Tangie,Hybrid,Stress,Happy,Citrus,17.25867,0.18,1,59,123
Timewreck,Hybrid,Depression,Energetic,Lemon,18.92315,0.24,1,141,395
Ogre,Hybrid,None,Relaxed,None,23.13832,0.14,1,135,246
Black Magic,Hybrid,None,None,Pungent,16.07011,0.087,1,143,1147
O.G. Kush,Sativa,None,None,Butter,10.83176,0.13,1,6,5
Purple Elephant,Hybrid,Stress,Relaxed,Sweet,14.15736,0.18,1,141,468
The HOG,Hybrid,Stress,Sleepy,Earthy,11.77641,0.01,1,147,610
Blueberry,Hybrid,Stress,Relaxed,Blueberry,18.09259,0.273,1,20,22
Sugar Plum,Hybrid,Pain,Euphoric,Sweet,10.77042,0.136,1,141,1017
Cherry Pie,Indica,None,None,Pungent,13.72544,0.065,1,27,30
Cream Caramel,Hybrid,Stress,Relaxed,Sweet,20.81446,0.184,1,143,355
LA Woman,Hybrid,None,None,Earthy,16.10552,0.197,1,148,802
Remedy,Indica,Stress,Relaxed,Earthy,0.307073,9.36,3,132,354
Elephant,Sativa,None,Happy,Sweet,15.14269,0.25,1,136,787
Blue OG,Hybrid,None,None,Apricot,19.294,0,1,139,297
Chernobyl,Hybrid,None,Happy,None,22.355,0.32,1,73,118
Kosher Kush,Hybrid,Pain,Relaxed,Earthy,15.42574,0,1,56,76
Kali Mist,Hybrid,Stress,Energetic,Earthy,15.8027,0.164,1,117,227
Super Skunk,Hybrid,Stress,Relaxed,Skunk,12.43757,0.136,1,103,100
Caramelicious,Hybrid,None,Focused,None,15.1767,0,1,146,815
AK-48,Hybrid,None,Happy,None,16.3122,0,1,138,270
MK Ultra,Hybrid,Stress,Relaxed,Earthy,18.39769,0.106,1,72,97
Sweet Cheese,Hybrid,Depression,Euphoric,Sweet,16.17552,0,1,142,568
The Black,Hybrid,Insomnia,Relaxed,Earthy,16.663,0,1,144,303
Super Silver Haze,Sativa,Stress,Happy,Citrus,16.2109,0.133,1,17,25
Charlie Sheen,Hybrid,None,None,Spicy/Herbal,18.2,0.2,1,132,470
Purple OG Kush,Indica,Stress,Relaxed,Earthy,17.3,0.2,1,112,184
THC Bomb,Hybrid,None,None,Earthy,13.45884,0.082,1,116,183
Aurora Indica,Hybrid,Stress,Relaxed,Pine,17.7154,0,1,138,396
Chronic,Hybrid,None,Relaxed,None,13.48602,0.15,1,133,171
Fruit Punch,Hybrid,Depression,Happy,Sweet,12.5411,0,1,123,349
Pot of Gold,Hybrid,Insomnia,Relaxed,Sweet,19.72214,0.31,1,136,361
Granddaddy Purple,Indica,Stress,Relaxed,Berry,14.37372,0.069,1,7,7
Burmese,Hybrid,None,None,Earthy,13.78687,0,1,135,378
Buffalo Bill,Sativa,Depression,Euphoric,Pine,19.1,0.2,1,148,1621
Alaskan Thunder Fuck,Sativa,Stress,Happy,Earthy,14.15644,0,1,39,33
Deadwood,Indica,Stress,Relaxed,Berry,13.52564,0,1,146,1631
Green Crack,Hybrid,Stress,Energetic,Citrus,23.03949,0.13,1,4,6
Blackberry Trainwreck,Hybrid,None,None,Earthy,13.7558,0,1,151,1445
Skywalker,Hybrid,Stress,Relaxed,Earthy,20.8787,0.19,1,67,43
Blue Mystic,Hybrid,Stress,Relaxed,Blueberry,7.00583,0,1,142,376
Berry White,Hybrid,Stress,Relaxed,Berry,3.083684,0.001,1,49,102
Purple Diesel,Hybrid,None,None,Grape,8.23027,0.086,1,115,192
Blue City Diesel,Hybrid,None,None,Lime,17.6646,0.2,1,99,128
Straight Jacket,Hybrid,None,None,Citrus,23.6363,0.23,1,0,0
Cinderella 99,Sativa,None,None,Earthy,11.14455,0.05,1,82,69
Royal Haze,Hybrid,Depression,Uplifted,Skunk,16.13724,0.224,1,150,925
Strawberry Kush,Hybrid,None,None,Sweet,19.1797,0.27,1,111,150
Jack Frost,Hybrid,None,None,Earthy,16.21862,0.34,1,98,142
X Factor,Hybrid,None,None,Sweet,19.4063,0.4,1,0,0
Papaya,Hybrid,Stress,Relaxed,Sweet,19.65047,0.2,1,136,432
Acapulco Gold,Sativa,Depression,Happy,Earthy,16.13337,0.283,1,84,108
LSD,Hybrid,None,Happy,Citrus,15.9,0.3,1,47,51
Oregon Diesel,Hybrid,Depression,Relaxed,Earthy,13.52147,0.78,1,136,665
Critical Kush,Indica,Depression,Relaxed,Earthy,16.60826,0.159,1,51,68
Vanilla Kush,Indica,Stress,Relaxed,Vanilla,21.39759,0.185,1,87,179
White Rhino,Hybrid,Stress,Relaxed,Earthy,15.70154,0.094,1,67,54
White Lavender,Hybrid,None,None,Strawberry,15.90138,0.079,1,143,963
Thai,Sativa,Stress,Happy,Earthy,17.81722,0.199,1,137,147
Bubblicious,Hybrid,None,Happy,Sweet,13.94938,0.079,1,142,517
Shark Attack,Hybrid,Pain,Happy,Earthy,17.16335,0.139,1,151,1618
Blackberry,Hybrid,None,Relaxed,None,9.66561,0.07,1,101,156
Purple Haze,Hybrid,Depression,Euphoric,Earthy,10.73201,0.135,1,49,36
Everlast,Indica,Stress,Relaxed,Earthy,24.74766,0.35,1,0,0
Northern Lights x Blueberry,Hybrid,None,None,Earthy,15.3844,0.7,1,0,0
Alien Dawg,Indica,Stress,Relaxed,Earthy,11.32856,0.156,1,128,293
Blood Wreck,Hybrid,None,None,Sweet,9.6,0.2,1,0,0
Flo,Hybrid,None,Happy,None,13.6,0.4,1,83,148
Maui Wowie,Sativa,Stress,Happy,Sweet,6.9,0,1,49,60
Sensi Star,Hybrid,Stress,Relaxed,Earthy,13.39741,0.76,1,94,139
Blueberry Skunk,Hybrid,Stress,Euphoric,Blueberry,6.967445,0.017,1,147,672
Snow Leopard,Hybrid,Stress,Euphoric,Earthy,18.70933,0.201,1,142,1149
Cheese,Hybrid,None,Relaxed,None,16.0014,0.05,1,39,34
Hindu Kush,Hybrid,Stress,Relaxed,Earthy,13.06919,0,1,55,59
Dutch Dream,Hybrid,None,None,Lavender,19.1,0.2,1,55,104
Deep Purple,Hybrid,Stress,Relaxed,Grape,20.07429,0.01,1,147,600
Rosetta Stone,Hybrid,None,None,Citrus,16.286,0.7,1,0,0
Skunk,Hybrid,None,None,Spicy/Herbal,22.42349,0.01,1,113,58
Pez,Indica,Pain,Euphoric,Sweet,7.492102,0,1,151,1213
